"Reference","Qty","Value","Exclude from BOM","LCSC","Digikey Part No."
"J5","1","Connector, USB-TYPE-C-16P","","C2927039","-"
"D3","1","550mV@3A",""," C466502","-"
"L1","1","CKCS4018-1UH/N","","C354573","-"
"X1","1","1XXD32000MBA","","C253694","-"
"CN1,CN2","2","PA001-4P",""," C173286","-"
"Card1","1","TF-015","","C113206","-"
"C27,C31","2","10uF","","C96446","-"
"C28","1","22uF","","C59461","-"
"C10,C13,C14,C23","4","1uF","","C52923","-"
"R22,R23","2","5.1kΩ","","C25905","-"
"R17,R18","2","4.7kΩ","","C25900","-"
"R2,R32,R33,R34","4","3.3kΩ","","C25890","-"
"R26","1","10kΩ","","C25804","-"
"R6,R14,R27,R29","4","47kΩ","","C25792","-"
"R28","1","27kΩ","","C25771","-"
"R1,R9,R10,R11,R12,R13,R19,R31","8","10kΩ","","C25744","-"
"R7","1","100kΩ","","C25741","-"
"R5,R8","2","75Ω","","C25133","-"
"R3,R4,R15,R16","4","22Ω","","C25092","-"
"C34","1","4.7uF","","C23733","-"
"C1,C21,C24,C25,C26,C35,C36","7","10uF","","C15525","-"
"C29","1","10nF","","C15195","-"
"C32","1","100nF","","C14663","-"
"R30,R35,R36,R37,R38","5","1kΩ","","C11702","-"
"C2,C3,C4,C5,C6,C7,C8,C9,C12,C15,C16,C17,C18,C19,C20,C22,C30,C33","18","100nF","","C1525","-"
"U11,U12","2","NRVB120VLSFT1G","","-","NRVB120VLSFT1GOSCT-ND"
"U10","1","TLV75733PDBV","","-","296-50414-1-ND"
"U9","1","ICM-45686","","-","-"
"U7","1","SN74AHCT125DR","","-","296-4652-1-ND"
"U6","1","MMC5983MA","","-","1267-MMC5983MACT-ND"
"U5","1","SN74LVC1G32MDBVREP","","-","296-22349-1-ND"
"U4","1","ADXL375BCCZ-RL7","","-","ADXL375BCCZ-RL7CT-ND"
"U3","1","MS5607-02BA03","","-","223-1198-1-ND"
"U2","1","TPS62901RPJR","","-","296-TPS62901RPJRCT-ND"
"U1","1","STM32U575VGTx","","-","497-STM32U575VGT6-ND"
"SW1,SW2","2","SKRKAEE020","","-","4809-SKRKAEE020CT-ND"
"R25","1","26.1kΩ","","-","311-26.1KHRCT-ND"
"R24","1","76.8kΩ","","-","311-76.8KHRCT-ND"
"Q1,Q2,Q3","3","SI7232DN-T1-GE3","","-","SI7232DN-T1-GE3CT-ND"
"JP1","1","Jumper_2_Bridged","","-","36-5106CT-ND"
"J8","1","Conn_01x04_Pin","Excluded from BOM","-","WM10667-ND"
"J7","1","Conn_01x04_Pin","Excluded from BOM","-","WM10667-ND"
"J6","1","436500201","","-","WM1865-ND"
"J2,J3","2","Conn_01x02_Pin","","-","WM1917-ND"
"J1","1","TagConnect_TC2030-NL","Excluded from BOM","-","-"
"H1,H2,H3,H4","4","MountingHole_Pad_MP","Excluded from BOM","-","-"
"FB1","1","100R","Excluded from BOM","-","-"
"D2","1","MMSZ4683T1G","","-","MMSZ4683T1GOSCT-ND"
"D1","1","USBLC6-2SC6","","-","497-5235-1-ND"
"BUZZER1","1","PS1440P02BT","","-","445-5242-1-ND"
